hypothesis,model,ips_pass_taa,ips_loss_taa,ips_pass_saa,ips_loss_saa,taa_return_pa,taa_vol_pa,taa_max_dd,taa_sharpe,taa_calmar,delta_dd,delta_ret,delta_sharpe,n_signals_fired,elapsed_seconds
h1,xgb,1,6.735553651102441,1,7.141975075845424,0.04658121676198124,0.05995193605802972,-0.19439278119648518,0.45602792347952886,0.2396242107102662,0.0043881472111459985,-0.00032909808750480884,0.0051651237886334855,60,1.7059376239776611
h1,lstm,1,6.315211312458567,1,7.141975075845424,0.0474057410640254,0.06084142502366947,-0.19102108462087952,0.46323043226845445,0.24817020151525054,0.007759843786751652,0.0004954262145393518,0.012367632577559073,34,17.34360432624817
h1,transformer,1,7.102227254450748,1,7.141975075845424,0.047350596467253814,0.06118218364640168,-0.1988329956381082,0.4601266263468927,0.23814254930522524,-5.2067230477015336e-05,0.0004402816177677682,0.009263826655997343,28,41.67396020889282
h2,xgb,2,7.441434083216542,1,7.141975075845424,0.05849449227492598,0.06715478138385661,-0.20499688974915486,0.5825489169894403,0.2853433159230024,-0.00621596134152369,0.011584177425439934,0.13168611729854496,59,1.4640929698944092
h2,lstm,2,7.752976126359556,1,7.141975075845424,0.05298831503326484,0.06590770241006193,-0.20804294922060795,0.5131879570123857,0.2546989226588796,-0.009262020812976779,0.006078000183778798,0.062325157321490354,34,14.531421899795532
h2,transformer,1,6.906493581949446,1,7.141975075845424,0.04928959725742965,0.06293055305546438,-0.19883299563810997,0.47846256118584646,0.2478944558434365,-5.206723047879169e-05,0.002379282407943606,0.02759976149495108,20,36.44850158691406
h3,xgb,1,6.73314158588755,1,7.141975075845424,0.04770620575007678,0.060560154604801,-0.195507455416833,0.4698338078807285,0.24401220735221804,0.0032734729907981652,0.0007958909005907344,0.018971008189833105,46,1.5503151416778564
h3,lstm,1,7.040955296720004,1,7.141975075845424,0.0479547237544351,0.06130757072813587,-0.1988329956381094,0.4687189164742647,0.24118091466929464,-5.206723047823658e-05,0.0010444089049490568,0.017856116783369347,21,13.263310194015503
h3,transformer,1,6.3429002267393795,1,7.141975075845424,0.04713460543982406,0.061071235095851134,-0.19102108462087986,0.4574769136619914,0.2467507999620684,0.007759843786751319,0.00022429059033801657,0.006614113971096014,26,25.547072649002075
h4,xgb,1,7.240582697139578,1,7.141975075845424,0.04598993404201712,0.06144930398964249,-0.1988329956381083,0.4372346246954035,0.2312993067092467,-5.206723047712636e-05,-0.0009203808074689235,-0.013628174995491904,12,1.3859219551086426
h4,lstm,1,6.777119552833715,1,7.141975075845424,0.046661142506251974,0.061366892157155704,-0.19488053177748998,0.44819374290086395,0.2394346017052569,0.0039003966301411896,-0.000249172343234072,-0.002669056790031432,19,13.40793776512146
h4,transformer,1,7.143896633346827,1,7.141975075845424,0.04694143446843002,0.061361141827058874,-0.19883299563810986,0.4525948362115594,0.2360847319016747,-5.206723047868067e-05,3.1119618943975524e-05,0.0017320365206640043,10,38.86681795120239
