decision_date,logistic_probability,bayes_xgb_probability,sarimax_forecast_return
2007-12-31,0.17515426570337003,0.20362260937690735,0.017121315670172412
2008-12-31,0.795542396217055,0.2031927853822708,0.052507465059110046
2009-12-31,0.3929109994525886,0.14572805166244507,0.03722107758661961
2010-12-31,0.3771559618315081,0.10226558893918991,0.008357884742180959
2011-12-30,0.36427457071514147,0.1588679850101471,0.004821507454430302
2012-12-31,0.4375946804930282,0.06187644228339195,0.005957111239718722
2013-12-31,0.5756290260695096,0.3950447738170624,0.014886591800279722
2014-12-31,0.5555910058768041,0.9121363759040833,0.006925854236677957
2015-12-31,0.47865868190391236,0.07141983509063721,-0.003965787437703127
2016-12-30,0.31251691436684204,0.10096686333417892,0.010659576273546788
2017-12-31,0.2711819768805102,0.057758819311857224,0.006449281570503257
2018-12-31,0.4396017327420584,0.5286232829093933,-0.001108765785622306
2019-12-31,0.3611622386303158,0.009775236248970032,0.006902443870999063
2020-12-31,0.2184859127974575,0.05995019152760506,0.010633032405481782
2021-12-31,0.3408289831111816,0.0943412184715271,0.012782862821863488
2022-12-31,0.6284126197062084,0.2558530271053314,0.0031749660115104267
2023-12-31,0.4717313822694689,0.5765855312347412,-0.0001031004144841786
2024-12-31,0.512129973690636,0.1173420399427414,0.006255147812695535
2025-12-31,0.4485610137034738,0.06166968122124672,0.008590583188758449
