year,SAA MinVar,60/40
2004,0.12996386415373462,0.08372233515225114
2005,0.013281501062823109,0.04051205582277562
2006,0.12192939072077724,0.11199495856715225
2007,0.03614284381250443,0.06471070526649991
2008,-0.08233291351381267,-0.20496817929571143
2009,0.16180686389112586,0.1897464820002972
2010,0.15069871579535676,0.12099282545682488
2011,0.06549483778412868,0.05192658883731216
2012,0.06894486145678846,0.11402536349754944
2013,0.038204638252888,0.17565009064861603
2014,0.06520143663620015,0.10742753410696237
2015,0.0135493608281958,0.013980650178517795
2016,0.06829004659924887,0.08406313599734383
2017,0.14375923112013522,0.14245409545279375
2018,-0.008160622164718467,-0.022783377626132695
2019,0.16780822965635034,0.22156965731417366
2020,0.10725065750987484,0.15680768691887992
2021,0.10347431815488539,0.15889844797580555
2022,-0.15605289182813287,-0.15565286191933292
2023,0.09242756593466717,0.17814898827053227
2024,0.06167134347589731,0.15142787607259134
2025,0.08367912064514238,0.14015960044640097
2026,0.00032616248946926163,-0.017340336216351337
