config_key,feature_config_id,window_profile,families,feature_count,feature_columns,label_drawdown_threshold,label_return_threshold,decision_frequency,covariance_window,deviation_limit,model_family,threshold,trigger_rate,avg_turnover,oos_start,overall_return_pa,overall_volatility_pa,overall_max_drawdown,overall_var95,overall_calmar,saa_return_pa,saa_volatility_pa,saa_max_drawdown,ips_pass_count,avg_fold_drawdown_improvement,fold_drawdown_win_count
medium__macro_memory__crypto|dd0.030_ret0.020|cov=126|band=0.15|thr=0.45,medium__macro_memory__crypto,medium,"macro_memory,crypto",5,"baa_widen_12m,bitcoin_available,bitcoin_mom_3m,inv_12m_any,vix_12m_max",-0.03,-0.02,annual,126,0.15,Logistic,0.45,0.5238095238095238,0.19492061185856763,2006-12-29,0.0420096575954938,0.06572149099118847,-0.20016857858470516,-0.0057396882518424034,0.20987138886894083,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
medium__market_momentum__macro_memory__crypto|dd0.030_ret0.020|cov=126|band=0.15|thr=0.45,medium__market_momentum__macro_memory__crypto,medium,"market_momentum,macro_memory,crypto",6,"baa_widen_12m,bitcoin_available,bitcoin_mom_3m,inv_12m_any,spx_mom_3m,vix_12m_max",-0.03,-0.02,annual,126,0.15,Logistic,0.45,0.5238095238095238,0.19492061185856763,2006-12-29,0.0420096575954938,0.06572149099118847,-0.20016857858470516,-0.0057396882518424034,0.20987138886894083,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
medium__market_risk__macro_memory__crypto|dd0.030_ret0.020|cov=126|band=0.15|thr=0.45,medium__market_risk__macro_memory__crypto,medium,"market_risk,macro_memory,crypto",8,"avg_corr_6m,baa_widen_12m,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,inv_12m_any,spx_vol_6m,vix_12m_max",-0.03,-0.02,annual,126,0.15,Logistic,0.45,0.5238095238095238,0.19492061185856763,2006-12-29,0.0420096575954938,0.06572149099118847,-0.20016857858470516,-0.0057396882518424034,0.20987138886894083,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
medium__market_momentum__market_risk__macro_memory__crypto|dd0.030_ret0.020|cov=126|band=0.15|thr=0.45,medium__market_momentum__market_risk__macro_memory__crypto,medium,"market_momentum,market_risk,macro_memory,crypto",9,"avg_corr_6m,baa_widen_12m,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,inv_12m_any,spx_mom_3m,spx_vol_6m,vix_12m_max",-0.03,-0.02,annual,126,0.15,Logistic,0.45,0.5238095238095238,0.19492061185856763,2006-12-29,0.0420096575954938,0.06572149099118847,-0.20016857858470516,-0.0057396882518424034,0.20987138886894083,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
short__macro_memory__crypto|dd0.030_ret0.015|cov=126|band=0.15|thr=0.45,short__macro_memory__crypto,short,"macro_memory,crypto",5,"baa_widen_6m,bitcoin_available,bitcoin_mom_1m,inv_6m_any,vix_6m_max",-0.03,-0.015,annual,126,0.15,Logistic,0.45,0.5714285714285714,0.18378206334660213,2006-12-29,0.04164369589203276,0.0656798944044973,-0.20016857858470516,-0.005727076663375483,0.20804312138535988,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
short__market_momentum__macro_memory__crypto|dd0.030_ret0.015|cov=126|band=0.15|thr=0.45,short__market_momentum__macro_memory__crypto,short,"market_momentum,macro_memory,crypto",6,"baa_widen_6m,bitcoin_available,bitcoin_mom_1m,inv_6m_any,spx_mom_1m,vix_6m_max",-0.03,-0.015,annual,126,0.15,Logistic,0.45,0.5714285714285714,0.18378206334660213,2006-12-29,0.04164369589203276,0.0656798944044973,-0.20016857858470516,-0.005727076663375483,0.20804312138535988,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
short__market_risk__macro_memory__crypto|dd0.030_ret0.015|cov=126|band=0.15|thr=0.45,short__market_risk__macro_memory__crypto,short,"market_risk,macro_memory,crypto",8,"avg_corr_3m,baa_widen_6m,bitcoin_available,bitcoin_mom_1m,equity_drawdown_3m,inv_6m_any,spx_vol_3m,vix_6m_max",-0.03,-0.015,annual,126,0.15,Logistic,0.45,0.5714285714285714,0.18378206334660213,2006-12-29,0.04164369589203276,0.0656798944044973,-0.20016857858470516,-0.005727076663375483,0.20804312138535988,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
short__defensive_relative__macro_memory__crypto|dd0.030_ret0.015|cov=126|band=0.15|thr=0.45,short__defensive_relative__macro_memory__crypto,short,"defensive_relative,macro_memory,crypto",7,"baa_widen_6m,bitcoin_available,bitcoin_mom_1m,gold_rel_mom_3m,inv_6m_any,jpy_rel_mom_3m,vix_6m_max",-0.03,-0.015,annual,126,0.15,Logistic,0.45,0.5714285714285714,0.18378206334660213,2006-12-29,0.04164369589203276,0.0656798944044973,-0.20016857858470516,-0.005727076663375483,0.20804312138535988,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
short__market_momentum__market_risk__macro_memory__crypto|dd0.030_ret0.015|cov=126|band=0.15|thr=0.45,short__market_momentum__market_risk__macro_memory__crypto,short,"market_momentum,market_risk,macro_memory,crypto",9,"avg_corr_3m,baa_widen_6m,bitcoin_available,bitcoin_mom_1m,equity_drawdown_3m,inv_6m_any,spx_mom_1m,spx_vol_3m,vix_6m_max",-0.03,-0.015,annual,126,0.15,Logistic,0.45,0.5714285714285714,0.18378206334660213,2006-12-29,0.04164369589203276,0.0656798944044973,-0.20016857858470516,-0.005727076663375483,0.20804312138535988,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
short__market_momentum__defensive_relative__macro_memory__crypto|dd0.030_ret0.015|cov=126|band=0.15|thr=0.45,short__market_momentum__defensive_relative__macro_memory__crypto,short,"market_momentum,defensive_relative,macro_memory,crypto",8,"baa_widen_6m,bitcoin_available,bitcoin_mom_1m,gold_rel_mom_3m,inv_6m_any,jpy_rel_mom_3m,spx_mom_1m,vix_6m_max",-0.03,-0.015,annual,126,0.15,Logistic,0.45,0.5714285714285714,0.18378206334660213,2006-12-29,0.04164369589203276,0.0656798944044973,-0.20016857858470516,-0.005727076663375483,0.20804312138535988,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
short__market_risk__defensive_relative__macro_memory__crypto|dd0.030_ret0.015|cov=126|band=0.15|thr=0.45,short__market_risk__defensive_relative__macro_memory__crypto,short,"market_risk,defensive_relative,macro_memory,crypto",10,"avg_corr_3m,baa_widen_6m,bitcoin_available,bitcoin_mom_1m,equity_drawdown_3m,gold_rel_mom_3m,inv_6m_any,jpy_rel_mom_3m,spx_vol_3m,vix_6m_max",-0.03,-0.015,annual,126,0.15,Logistic,0.45,0.5714285714285714,0.18378206334660213,2006-12-29,0.04164369589203276,0.0656798944044973,-0.20016857858470516,-0.005727076663375483,0.20804312138535988,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
short__market_momentum__market_risk__defensive_relative__macro_memory__crypto|dd0.030_ret0.015|cov=126|band=0.15|thr=0.45,short__market_momentum__market_risk__defensive_relative__macro_memory__crypto,short,"market_momentum,market_risk,defensive_relative,macro_memory,crypto",11,"avg_corr_3m,baa_widen_6m,bitcoin_available,bitcoin_mom_1m,equity_drawdown_3m,gold_rel_mom_3m,inv_6m_any,jpy_rel_mom_3m,spx_mom_1m,spx_vol_3m,vix_6m_max",-0.03,-0.015,annual,126,0.15,Logistic,0.45,0.5714285714285714,0.18378206334660213,2006-12-29,0.04164369589203276,0.0656798944044973,-0.20016857858470516,-0.005727076663375483,0.20804312138535988,0.04724621446419519,0.08368505698746732,-0.26347768720815623,1,0.012174487541825402,2
