config_key,model_family,model_label,threshold,logistic_threshold,xgb_threshold,validation_cagr,validation_volatility,validation_max_drawdown,validation_calmar,validation_trigger_rate,selection_score,model_priority
Logistic|thr=0.2500,Logistic,Logistic regression,0.25,,,0.03785958548574514,0.04972909863800331,-0.09541597990635065,0.6027887248843,0.875,-0.09163002135777613,0
Logistic|thr=0.3000,Logistic,Logistic regression,0.3,,,0.03769287573396063,0.050764434188891615,-0.09725764279357699,0.5810573582935802,0.75,-0.09348835522018092,0
Logistic|thr=0.2000,Logistic,Logistic regression,0.2,,,0.0287377996180109,0.04817278479073875,-0.09833126226524364,0.5608457373267698,1.0,-0.09545748230344255,0
Logistic|thr=0.4000,Logistic,Logistic regression,0.4,,,0.03926136660971302,0.060734836684091784,-0.10216543433915215,0.6218333691792964,0.375,-0.09823929767818085,0
Ensemble|logit=0.40|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.4,0.25,0.03926136660971302,0.060734836684091784,-0.10216543433915215,0.6218333691792964,0.375,-0.09823929767818085,1
Ensemble|logit=0.40|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.4,0.3,0.03926136660971302,0.060734836684091784,-0.10216543433915215,0.6218333691792964,0.375,-0.09823929767818085,1
Ensemble|logit=0.40|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.4,0.35,0.03926136660971302,0.060734836684091784,-0.10216543433915215,0.6218333691792964,0.375,-0.09823929767818085,1
Logistic|thr=0.3500,Logistic,Logistic regression,0.35,,,0.0362276669073498,0.056132178448298764,-0.10216543433915215,0.58412734090808,0.5,-0.09854266764841718,0
Logistic|thr=0.4500,Logistic,Logistic regression,0.45,,,0.04367579744604555,0.061992877902957974,-0.10281863654280399,0.7283254295510108,0.25,-0.09845105679819943,0
Logistic|thr=0.5000,Logistic,Logistic regression,0.5,,,0.04367579744604555,0.061992877902957974,-0.10281863654280399,0.7283254295510108,0.25,-0.09845105679819943,0
Ensemble|logit=0.45|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.45,0.25,0.04367579744604555,0.061992877902957974,-0.10281863654280399,0.7283254295510108,0.25,-0.09845105679819943,1
Ensemble|logit=0.45|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.45,0.3,0.04367579744604555,0.061992877902957974,-0.10281863654280399,0.7283254295510108,0.25,-0.09845105679819943,1
Ensemble|logit=0.45|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.45,0.35,0.04367579744604555,0.061992877902957974,-0.10281863654280399,0.7283254295510108,0.25,-0.09845105679819943,1
Ensemble|logit=0.50|xgb=0.25,Ensemble,Logistic OR BayesXGBoost,,0.5,0.25,0.04367579744604555,0.061992877902957974,-0.10281863654280399,0.7283254295510108,0.25,-0.09845105679819943,1
Ensemble|logit=0.50|xgb=0.30,Ensemble,Logistic OR BayesXGBoost,,0.5,0.3,0.04367579744604555,0.061992877902957974,-0.10281863654280399,0.7283254295510108,0.25,-0.09845105679819943,1
Ensemble|logit=0.50|xgb=0.35,Ensemble,Logistic OR BayesXGBoost,,0.5,0.35,0.04367579744604555,0.061992877902957974,-0.10281863654280399,0.7283254295510108,0.25,-0.09845105679819943,1
BayesXGBoost|thr=0.4000,BayesXGBoost,Bayes-tuned XGBoost,0.4,,,0.05614553730917887,0.0758061674047272,-0.12321165449511753,0.6872525033024084,0.0,-0.11759710076419966,2
SARIMAX|thr=-0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",-0.0025,,,0.05614553730917887,0.0758061674047272,-0.12321165449511753,0.6872525033024084,0.0,-0.11759710076419966,3
SARIMAX|thr=0.0000,SARIMAX,"SARIMAX(1,0,0)+macro",0.0,,,0.05614553730917887,0.0758061674047272,-0.12321165449511753,0.6872525033024084,0.0,-0.11759710076419966,3
SARIMAX|thr=0.0025,SARIMAX,"SARIMAX(1,0,0)+macro",0.0025,,,0.05614553730917887,0.0758061674047272,-0.12321165449511753,0.6872525033024084,0.0,-0.11759710076419966,3
SARIMAX|thr=0.0050,SARIMAX,"SARIMAX(1,0,0)+macro",0.005,,,0.05614553730917887,0.0758061674047272,-0.12321165449511753,0.6872525033024084,0.0,-0.11759710076419966,3
BayesXGBoost|thr=0.2500,BayesXGBoost,Bayes-tuned XGBoost,0.25,,,0.05325679611489487,0.07497090031498096,-0.12321165449511753,0.6121874633137518,0.125,-0.11788597488362805,2
BayesXGBoost|thr=0.3000,BayesXGBoost,Bayes-tuned XGBoost,0.3,,,0.05325679611489487,0.07497090031498096,-0.12321165449511753,0.6121874633137518,0.125,-0.11788597488362805,2
BayesXGBoost|thr=0.3500,BayesXGBoost,Bayes-tuned XGBoost,0.35,,,0.05325679611489487,0.07497090031498096,-0.12321165449511753,0.6121874633137518,0.125,-0.11788597488362805,2
